bestellnummer;lieferant_plz;lieferant_ort;lieferant_land;empfaenger;empfaenger_plz;empfaenger_ort;empfaenger_land;incoterm;incoterms_ort;termin_lieferant;termin_empfaenger;bb_name
0015810430;250001;Jinan;CN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Qingdao;26.08.2021 00:00;20.10.2021 00:00;WOHNDEKORATION
0040089474;;Kowloon;HK;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Shanghai;07.03.2022 00:00;24.04.2022 00:00;OUTDOOR HW
0040089474;;Kowloon;HK;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Shanghai;07.03.2022 00:00;24.04.2022 00:00;OUTDOOR HW
0040094469;999077;Hung Hom, Kowloon;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Ningbo;08.07.2022 00:00;15.08.2022 00:00;TISCH
0015625754;560001;Bangalore;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Tuticorin;20.02.2021 00:00;08.04.2021 00:00;WOHNTEXTILIEN
0045849904;315800;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;19.03.2021 00:00;06.05.2021 00:00;TIERWELT
0015617001;201308;Greater Noida;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Mumbai;31.03.2021 00:00;04.05.2021 00:00;KINDERMOEBEL/-TEXTILIEN
0015626970;106;Taipei;TW;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Kaohsiung;;01.06.2021 00:00;KÜCHE/TISCH
0015626970;106;Taipei;TW;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Kaohsiung;;01.06.2021 00:00;KÜCHE/TISCH
0015618488;641603;Tirupur, Tamil Nadu;IN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Tuticorin;18.08.2021 00:00;04.10.2021 00:00;WÄSCHE
0015618488;641603;Tirupur, Tamil Nadu;IN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Tuticorin;18.08.2021 00:00;04.10.2021 00:00;WÄSCHE
0015618488;641603;Tirupur, Tamil Nadu;IN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Tuticorin;18.08.2021 00:00;04.10.2021 00:00;WÄSCHE
0015618488;641603;Tirupur, Tamil Nadu;IN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Tuticorin;18.08.2021 00:00;04.10.2021 00:00;WÄSCHE
0015618488;641603;Tirupur, Tamil Nadu;IN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Tuticorin;18.08.2021 00:00;04.10.2021 00:00;WÄSCHE
0015622898;641604;Tirupur;IN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Tuticorin;04.08.2021 00:00;27.09.2021 00:00;WÄSCHE
0015622898;641604;Tirupur;IN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Tuticorin;04.08.2021 00:00;27.09.2021 00:00;WÄSCHE
0015631752;;Cheung Sha Wan, Kowloon;HK;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Yantian;11.09.2021 00:00;25.10.2021 00:00;WÄSCHE
0015631753;;Kwai Chung;HK;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Hong Kong;03.08.2021 00:00;27.09.2021 00:00;WÄSCHE
0015631754;;Kwai Chung;HK;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Hong Kong;14.09.2021 00:00;01.11.2021 00:00;WÄSCHE
0015647055;106;Taipei;TW;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Taichung;18.04.2021 00:00;04.06.2021 00:00;WOHNMÖBEL
0015647055;106;Taipei;TW;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Taichung;18.04.2021 00:00;04.06.2021 00:00;WOHNMÖBEL
0045781169;SL5 9F;Ascot;GB;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Surabaya;29.11.2020 00:00;20.01.2021 00:00;KONSERVEN/ETHNIC
0015661471;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;06.06.2021 00:00;28.07.2021 00:00;KOCHEN
0015661472;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;06.06.2021 00:00;28.07.2021 00:00;KOCHEN
0015661474;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;06.06.2021 00:00;28.07.2021 00:00;KOCHEN
0015625891;560001;Bangalore;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Tuticorin;19.03.2021 00:00;05.05.2021 00:00;BAD TEXTILIEN
0015625891;560001;Bangalore;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Tuticorin;19.03.2021 00:00;05.05.2021 00:00;BAD TEXTILIEN
0015659852;6850;Dornbirn;AT;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Yantian;11.05.2021 00:00;01.07.2021 00:00;KÜCHE/TISCH
0045855546;74000;Samut Sakhon;TH;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Bangkok;06.06.2021 00:00;28.07.2021 00:00;KONSERVEN/ETHNIC
0015643426;641603;Tirupur, Tamil Nadu;IN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Tuticorin;18.08.2021 00:00;04.10.2021 00:00;WÄSCHE
0015643426;641603;Tirupur, Tamil Nadu;IN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Tuticorin;18.08.2021 00:00;04.10.2021 00:00;WÄSCHE
0015643497;201308;Greater Noida;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Mumbai;07.05.2021 00:00;10.06.2021 00:00;KINDERMOEBEL/-TEXTILIEN
0015661461;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;06.06.2021 00:00;28.07.2021 00:00;KOCHEN
0015661464;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;06.06.2021 00:00;28.07.2021 00:00;KOCHEN
0040086078;46499;Hamminkeln;DE;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Tuticorin;05.02.2021 00:00;24.03.2021 00:00;WOHNTEXTILIEN
0040086078;46499;Hamminkeln;DE;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Tuticorin;05.02.2021 00:00;24.03.2021 00:00;WOHNTEXTILIEN
0040086078;46499;Hamminkeln;DE;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Tuticorin;05.02.2021 00:00;24.03.2021 00:00;WOHNTEXTILIEN
0015612129;069116;Singapore;SG;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Fuzhou;20.02.2021 00:00;12.04.2021 00:00;POLSTERMÖBEL
0015637915;310051;Hangzhou, Binjiang;CN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Shanghai;15.06.2021 00:00;09.08.2021 00:00;REISEARTIKEL/ACCESSOIRES
0015637915;310051;Hangzhou, Binjiang;CN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Shanghai;15.06.2021 00:00;09.08.2021 00:00;REISEARTIKEL/ACCESSOIRES
0015647781;310051;Hangzhou, Binjiang;CN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Shanghai;15.06.2021 00:00;09.08.2021 00:00;REISEARTIKEL/ACCESSOIRES
0015640542;8156;Oberhasli;CH;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Yantian;01.02.2021 00:00;17.03.2021 00:00;GRILLGERAETE UND ZUBEHÖR
0040087898;852;Tsimshatsui, Kowloon;HK;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Hong Kong;12.08.2021 00:00;29.09.2021 00:00;SPIELWAREN
0040087898;852;Tsimshatsui, Kowloon;HK;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Hong Kong;12.08.2021 00:00;29.09.2021 00:00;SPIELWAREN
0015706932;;Hong Kong;HK;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Yantian;19.06.2021 00:00;09.08.2021 00:00;POLSTERMÖBEL
0015637915;310051;Hangzhou, Binjiang;CN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Shanghai;15.06.2021 00:00;09.08.2021 00:00;REISEARTIKEL/ACCESSOIRES
0015647785;310012;Hangzhou, Zhejiang;CN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Shanghai;15.06.2021 00:00;09.08.2021 00:00;REISEARTIKEL/ACCESSOIRES
0015647785;310012;Hangzhou, Zhejiang;CN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Shanghai;15.06.2021 00:00;09.08.2021 00:00;REISEARTIKEL/ACCESSOIRES
0045852994;13052;Virú, La Libertad;PE;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Callao;23.01.2021 00:00;05.03.2021 00:00;KONSERVEN/ETHNIC
0045852994;13052;Virú, La Libertad;PE;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Callao;23.01.2021 00:00;05.03.2021 00:00;KONSERVEN/ETHNIC
0045851030;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;22.03.2021 00:00;29.04.2021 00:00;TIERWELT
0015624621;7500;Holstebro;DK;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Shanghai;19.03.2021 00:00;06.05.2021 00:00;ARBEITEN
0015624621;7500;Holstebro;DK;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Shanghai;19.03.2021 00:00;06.05.2021 00:00;ARBEITEN
